[20181001_122817 / libfx.py:7035]
source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135340.(m-07).20180926_205209.csv
log file = op_2-2.detect.highs-lows.v-3.EURJPY-Period-H1.(m-07).20181001_122817.log

lo_Highs	lo_Lows	lenOf_LO_BarDatas
89	89	521
0.171	0.171	1.000

[20181001_122817 / libfx.py:7082]
<highs>
datetime(local)	start	current	diff
2018.07.31 22:00	130.7710	130.7730	0.0020
2018.07.31 19:00	130.8630	130.7250	-0.1380
2018.07.31 16:00	130.5120	130.2600	-0.2520
2018.07.31 13:00	130.1000	129.8240	-0.2760
2018.07.31 05:00	129.9650	129.9720	0.0070
2018.07.31 03:00	129.9500	129.9500	0.0000
2018.07.30 21:00	129.9440	129.7520	-0.1920
2018.07.30 16:00	129.5590	129.5070	-0.0520
2018.07.30 14:00	129.4660	129.4610	-0.0050
2018.07.30 12:00	129.4230	129.4230	0.0000
2018.07.30 09:00	129.4460	129.3500	-0.0960
2018.07.28 06:00	129.3480	129.3970	0.0490
2018.07.28 02:00	129.3780	129.2230	-0.1550
2018.07.27 22:00	129.3140	129.1690	-0.1450
2018.07.27 20:00	129.2490	129.2510	0.0020
2018.07.27 13:00	129.2940	129.2960	0.0020
2018.07.27 11:00	129.2160	129.2160	0.0000
2018.07.26 07:00	129.9600	129.9630	0.0030
2018.07.26 03:00	129.5660	129.5660	0.0000
2018.07.25 14:00	130.0530	129.9550	-0.0980
2018.07.25 06:00	129.9480	129.9000	-0.0480
2018.07.25 03:00	129.9410	129.8410	-0.1000
2018.07.24 18:00	129.9780	129.9770	-0.0010
2018.07.24 16:00	129.8360	129.8420	0.0060
2018.07.24 14:00	130.0080	130.0090	0.0010
2018.07.24 12:00	130.0120	130.0130	0.0010
2018.07.24 10:00	130.0540	130.0540	0.0000
2018.07.24 07:00	130.2140	130.1070	-0.1070
2018.07.23 19:00	130.1360	129.9860	-0.1500
2018.07.21 03:00	130.7380	130.7360	-0.0020
2018.07.20 17:00	130.8940	130.8940	0.0000
2018.07.20 13:00	130.8810	130.8840	0.0030
2018.07.20 11:00	130.7590	130.7580	-0.0010
2018.07.20 05:00	130.9550	130.9090	-0.0460
2018.07.20 03:00	130.9190	130.9230	0.0040
2018.07.19 23:00	130.9700	130.9730	0.0030
2018.07.19 17:00	131.1340	131.1390	0.0050
2018.07.18 21:00	131.3030	131.1180	-0.1850
2018.07.18 19:00	131.3140	131.3150	0.0010
2018.07.18 02:00	131.6460	131.5410	-0.1050
2018.07.17 22:00	131.7730	131.7740	0.0010
2018.07.17 11:00	131.6040	131.6010	-0.0030
2018.07.17 07:00	131.5900	131.4670	-0.1230
2018.07.17 02:00	131.4920	131.4920	0.0000
2018.07.16 16:00	131.5510	131.4440	-0.1070
2018.07.16 13:00	131.4380	131.4030	-0.0350
2018.07.16 11:00	131.4050	131.4050	0.0000
2018.07.16 09:00	131.2640	131.2650	0.0010
2018.07.14 04:00	131.2320	131.1690	-0.0630
2018.07.13 19:00	130.9040	130.8670	-0.0370
2018.07.13 07:00	131.3480	131.3060	-0.0420
2018.07.12 21:00	131.1070	131.1070	0.0000
2018.07.12 18:00	131.2830	131.1920	-0.0910
2018.07.12 14:00	131.1750	131.0770	-0.0980
2018.07.12 12:00	131.0360	131.0390	0.0030
2018.07.12 07:00	130.9040	130.6750	-0.2290
2018.07.12 00:00	130.4450	130.4440	-0.0010
2018.07.11 21:00	130.5920	130.2090	-0.3830
2018.07.11 19:00	130.1450	130.1420	-0.0030
2018.07.11 10:00	130.2070	129.9800	-0.2270
2018.07.10 23:00	130.5620	130.2830	-0.2790
2018.07.10 21:00	130.2360	130.2300	-0.0060
2018.07.10 07:00	130.2710	130.2130	-0.0580
2018.07.10 05:00	130.1890	130.1860	-0.0030
2018.07.10 03:00	130.1780	130.1760	-0.0020
2018.07.10 01:00	130.1220	130.1230	0.0010
2018.07.09 22:00	130.1450	130.1380	-0.0070
2018.07.09 19:00	130.0260	129.9910	-0.0350
2018.07.09 17:00	129.9410	129.9380	-0.0030
2018.07.09 14:00	129.9870	129.8980	-0.0890
2018.07.09 12:00	129.8890	129.8890	0.0000
2018.07.07 05:00	129.8510	129.6660	-0.1850
2018.07.06 20:00	129.5140	129.5180	0.0040
2018.07.06 14:00	129.3300	129.3270	-0.0030
2018.07.06 12:00	129.3370	129.3370	0.0000
2018.07.06 04:00	129.2830	129.2670	-0.0160
2018.07.05 17:00	129.3020	129.3020	0.0000
2018.07.05 13:00	128.6310	128.6330	0.0020
2018.07.05 11:00	128.7350	128.7340	-0.0010
2018.07.05 05:00	128.7060	128.7580	0.0520
2018.07.05 03:00	128.8780	128.8770	-0.0010
2018.07.05 01:00	128.6420	128.6420	0.0000
2018.07.04 21:00	128.6770	128.5690	-0.1080
2018.07.04 19:00	128.5290	128.5290	0.0000
2018.07.04 10:00	128.7130	128.7130	0.0000
2018.07.03 14:00	129.1540	128.9310	-0.2230
2018.07.03 07:00	129.0090	128.9740	-0.0350
2018.07.03 01:00	128.7950	128.4860	-0.3090
2018.07.02 10:00	129.2960	129.2920	-0.0040

<lows>
datetime(local)	start	current	diff
2018.07.31 11:00	130.0110	130.0120	0.0010
2018.07.31 08:00	129.9510	129.9810	0.0300
2018.07.31 01:00	130.0420	130.0420	0.0000
2018.07.30 19:00	129.7730	129.7730	0.0000
2018.07.27 17:00	129.2750	129.3080	0.0330
2018.07.27 15:00	129.3940	129.3990	0.0050
2018.07.27 03:00	129.4340	129.5940	0.1600
2018.07.27 01:00	129.5970	129.5980	0.0010
2018.07.26 21:00	129.7450	129.8190	0.0740
2018.07.26 19:00	129.7950	129.7930	-0.0020
2018.07.26 17:00	129.8210	129.8210	0.0000
2018.07.26 11:00	129.8650	130.0370	0.1720
2018.07.26 09:00	130.1230	130.1230	0.0000
2018.07.26 05:00	130.1770	130.1770	0.0000
2018.07.26 01:00	129.6340	129.6360	0.0020
2018.07.25 22:00	129.8990	129.9270	0.0280
2018.07.25 19:00	129.9030	130.0790	0.1760
2018.07.25 10:00	130.0250	130.0800	0.0550
2018.07.25 00:00	130.0040	130.0460	0.0420
2018.07.24 20:00	129.9970	130.0580	0.0610
2018.07.24 04:00	130.2840	130.3060	0.0220
2018.07.24 02:00	130.3660	130.3670	0.0010
2018.07.24 00:00	130.3770	130.3730	-0.0040
2018.07.23 22:00	130.3840	130.3860	0.0020
2018.07.23 17:00	130.1890	130.1850	-0.0040
2018.07.23 13:00	130.1100	130.1890	0.0790
2018.07.23 08:00	130.1900	130.6360	0.4460
2018.07.21 05:00	130.6330	130.7520	0.1190
