[20181001_104928 / libfx.py:7018]
source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135340.(m-01).20180926_205209.csv
log file = op_2-2.detect.highs-lows.v-3.EURJPY-Period-H1.20181001_104928.log

lo_Highs	lo_Lows	lenOf_LO_BarDatas
88	84	521
0.169	0.161	1.000

[20181001_104928 / libfx.py:7065]
<highs>
datetime(local)	start	current	diff
2018.01.31 14:00	135.4710	135.1820	-0.2890
2018.01.31 10:00	135.0640	135.0650	0.0010
2018.01.31 07:00	134.9370	134.9190	-0.0180
2018.01.31 05:00	134.8980	134.8920	-0.0060
2018.01.31 03:00	134.8760	134.8750	-0.0010
2018.01.31 01:00	134.9030	134.8980	-0.0050
2018.01.30 23:00	135.0390	135.0390	0.0000
2018.01.30 21:00	135.0300	135.0290	-0.0010
2018.01.30 16:00	134.7870	134.3520	-0.4350
2018.01.30 05:00	134.8950	134.8980	0.0030
2018.01.29 23:00	134.7980	134.4310	-0.3670
2018.01.29 12:00	134.9650	134.9620	-0.0030
2018.01.29 10:00	134.9180	134.9170	-0.0010
2018.01.27 03:00	134.8130	134.8120	-0.0010
2018.01.27 01:00	134.6280	134.6300	0.0020
2018.01.26 17:00	135.9030	135.8110	-0.0920
2018.01.26 15:00	135.9240	135.9250	0.0010
2018.01.26 13:00	135.9000	135.9020	0.0020
2018.01.26 11:00	135.8690	135.8710	0.0020
2018.01.26 05:00	135.6640	135.5470	-0.1170
2018.01.26 03:00	135.5180	135.5180	0.0000
2018.01.26 01:00	135.7320	135.7310	-0.0010
2018.01.25 20:00	135.2180	135.2140	-0.0040
2018.01.25 11:00	135.5270	135.4850	-0.0420
2018.01.25 07:00	135.4260	135.4360	0.0100
2018.01.25 04:00	135.3190	135.2710	-0.0480
2018.01.25 00:00	135.2030	135.2040	0.0010
2018.01.23 22:00	135.2990	135.3000	0.0010
2018.01.23 20:00	135.2020	135.2020	0.0000
2018.01.23 18:00	135.4250	135.4280	0.0030
2018.01.23 12:00	135.8100	135.7580	-0.0520
2018.01.23 06:00	136.0200	136.0190	-0.0010
2018.01.22 22:00	135.9230	135.6520	-0.2710
2018.01.22 15:00	135.4490	135.4570	0.0080
2018.01.22 13:00	135.4330	135.4330	0.0000
2018.01.20 03:00	135.5790	135.2590	-0.3200
2018.01.20 00:00	135.3010	135.2130	-0.0880
2018.01.19 22:00	135.3700	135.3680	-0.0020
2018.01.19 08:00	135.8450	135.8480	0.0030
2018.01.19 02:00	135.8730	135.6850	-0.1880
2018.01.18 17:00	135.9590	135.7520	-0.2070
2018.01.18 14:00	135.7420	135.6510	-0.0910
2018.01.18 09:00	135.7360	135.6220	-0.1140
2018.01.18 07:00	135.4570	135.4560	-0.0010
2018.01.18 01:00	135.7090	135.5100	-0.1990
2018.01.17 23:00	135.2290	135.2330	0.0040
2018.01.17 20:00	135.2200	135.1920	-0.0280
