[20181001_122640 / libfx.py:7035]
source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135341.2018-08.csv
log file = op_2-2.detect.highs-lows.v-3.EURJPY-Period-H1.20181001_122640.log

lo_Highs	lo_Lows	lenOf_LO_BarDatas
93	86	552
0.168	0.156	1.000

[20181001_122640 / libfx.py:7082]
<highs>
datetime(local)	start	current	diff
2018.08.01 11:00	130.7160	130.6290	-0.0870
2018.08.01 13:00	130.6280	130.7450	0.1170
2018.08.01 18:00	130.7450	130.8370	0.0920
2018.08.01 20:00	130.8370	130.7540	-0.0830
2018.08.01 23:00	130.7530	130.7230	-0.0300
2018.08.02 07:00	130.1820	130.2250	0.0430
2018.08.02 09:00	130.2230	130.2080	-0.0150
2018.08.02 11:00	130.2050	130.1410	-0.0640
2018.08.02 16:00	129.9740	129.8540	-0.1200
2018.08.03 00:00	129.5110	129.4190	-0.0920
2018.08.03 03:00	129.4210	129.5320	0.1110
2018.08.03 11:00	129.4060	129.4260	0.0200
2018.08.03 15:00	129.4330	129.4400	0.0070
2018.08.03 22:00	129.2970	129.2300	-0.0670
2018.08.04 03:00	128.8380	128.8640	0.0260
2018.08.06 14:00	128.6600	128.6830	0.0230
2018.08.07 02:00	128.6930	128.8220	0.1290
2018.08.07 09:00	128.6880	128.6820	-0.0060
2018.08.07 13:00	128.6770	128.6300	-0.0470
2018.08.07 15:00	128.6290	128.6570	0.0280
2018.08.07 17:00	128.6570	128.9140	0.2570
2018.08.07 19:00	128.9210	128.8620	-0.0590
2018.08.07 21:00	128.8610	128.9240	0.0630
2018.08.08 06:00	128.9450	129.1770	0.2320
2018.08.08 12:00	129.1810	129.2420	0.0610
2018.08.08 14:00	129.2420	129.3160	0.0740
2018.08.08 21:00	128.6440	128.7190	0.0750
2018.08.09 05:00	128.7690	128.8880	0.1190
2018.08.09 16:00	128.6700	128.8260	0.1560
2018.08.09 20:00	128.8300	128.8250	-0.0050
2018.08.10 22:00	127.0190	127.0730	0.0540
2018.08.13 10:00	126.1020	125.7090	-0.3930
2018.08.13 17:00	125.5330	125.3330	-0.2000
2018.08.13 19:00	125.3330	125.6240	0.2910
2018.08.14 00:00	126.0470	126.4710	0.4240
2018.08.14 04:00	126.1350	126.1030	-0.0320
2018.08.14 08:00	126.2690	126.2750	0.0060
2018.08.14 14:00	126.3280	126.3570	0.0290
2018.08.14 18:00	126.3570	126.4200	0.0630
2018.08.14 21:00	126.4140	126.4600	0.0460
2018.08.15 04:00	125.9930	126.1060	0.1130
2018.08.15 06:00	126.1050	126.0830	-0.0220
2018.08.15 12:00	126.0250	126.0930	0.0680
2018.08.15 18:00	126.0420	126.0410	-0.0010
2018.08.16 03:00	125.3590	125.4620	0.1030
2018.08.16 07:00	125.4620	125.5690	0.1070
2018.08.16 14:00	125.4300	126.0970	0.6670
2018.08.16 16:00	126.0960	126.0550	-0.0410
2018.08.17 06:00	126.0190	126.1440	0.1250
2018.08.17 10:00	126.0740	126.0920	0.0180
2018.08.17 13:00	126.0910	126.1220	0.0310
2018.08.17 16:00	126.1220	126.1120	-0.0100
2018.08.18 00:00	125.9080	126.0170	0.1090
2018.08.18 02:00	126.0150	125.9570	-0.0580
2018.08.18 06:00	125.9570	126.4480	0.4910
2018.08.20 15:00	126.3300	126.3410	0.0110
2018.08.21 03:00	126.1790	126.3130	0.1340
2018.08.21 05:00	126.3150	126.3640	0.0490
2018.08.21 08:00	126.3640	126.3300	-0.0340
2018.08.21 14:00	126.3270	126.8890	0.5620
2018.08.21 19:00	126.8460	127.0400	0.1940
2018.08.21 22:00	127.0390	126.9690	-0.0700
2018.08.22 00:00	126.9700	127.2650	0.2950
2018.08.22 04:00	127.2650	127.7780	0.5130
2018.08.22 11:00	127.4730	127.5400	0.0670
2018.08.22 15:00	127.5440	127.7990	0.2550
2018.08.22 23:00	127.7690	128.0480	0.2790
2018.08.23 02:00	128.0460	128.1030	0.0570
2018.08.23 06:00	128.1320	128.1930	0.0610
2018.08.23 17:00	128.0480	128.1710	0.1230
2018.08.23 21:00	128.1700	128.2860	0.1160
2018.08.24 01:00	128.2860	128.5710	0.2850
2018.08.24 11:00	128.3890	128.5670	0.1780
2018.08.24 16:00	128.5670	128.8350	0.2680
2018.08.25 01:00	128.8520	129.2880	0.4360
