[20190228_134909 / views.py:10271]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_134908.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190228_134909 / views.py:10280]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_1S
1	2019.02.14 00:00	2019.02.14 00:15	124.987	124.989	125.099
2	2019.02.14 01:45	2019.02.14 02:00	124.957	124.996	125.076
3	2019.02.14 02:30	2019.02.14 02:45	124.915	124.963	125.067
4	2019.02.13 00:30	2019.02.13 00:45	125.131	125.146	125.233
5	2019.02.13 00:45	2019.02.13 01:00	125.146	125.184	125.233
6	2019.02.13 01:00	2019.02.13 01:15	125.184	125.216	125.228
7	2019.02.13 01:15	2019.02.13 01:30	125.216	125.238	125.229
8	2019.02.13 01:30	2019.02.13 01:45	125.238	125.250	125.231
9	2019.02.13 01:45	2019.02.13 02:00	125.250	125.304	125.233
10	2019.02.13 03:45	2019.02.13 04:00	125.345	125.372	125.287
11	2019.02.13 04:00	2019.02.13 04:15	125.372	125.382	125.304
12	2019.02.13 04:15	2019.02.13 04:30	125.382	125.386	125.321
13	2019.02.13 04:30	2019.02.13 04:45	125.386	125.390	125.337
14	2019.02.13 04:45	2019.02.13 05:00	125.390	125.430	125.350
15	2019.02.13 05:00	2019.02.13 05:15	125.430	125.484	125.367
16	2019.02.13 05:15	2019.02.13 05:30	125.484	125.510	125.388
17	2019.02.13 07:00	2019.02.13 07:15	125.398	125.407	125.453
18	2019.02.13 08:45	2019.02.13 09:00	125.360	125.392	125.452
19	2019.02.13 10:00	2019.02.13 10:15	125.304	125.341	125.453
20	2019.02.13 10:45	2019.02.13 11:00	125.366	125.467	125.417
21	2019.02.13 16:30	2019.02.13 16:45	125.167	125.195	125.291
22	2019.02.13 18:45	2019.02.13 19:00	125.127	125.129	125.224
23	2019.02.13 20:00	2019.02.13 20:15	125.072	125.103	125.171
24	2019.02.13 20:15	2019.02.13 20:30	125.103	125.105	125.167
25	2019.02.13 20:30	2019.02.13 20:45	125.105	125.121	125.159
26	2019.02.13 21:30	2019.02.13 21:45	125.054	125.090	125.150
27	2019.02.13 21:45	2019.02.13 22:00	125.090	125.090	125.139
28	2019.02.13 23:00	2019.02.13 23:15	125.068	125.097	125.107
29	2019.02.12 00:30	2019.02.12 00:45	124.458	124.478	124.481
