[20190301_103342 / views.py:10755]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M15).(NumOfUnits-4500).(Bars-ALL).20190214_094828.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190301_103340.csv
pair	USDJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190301_103342 / views.py:10764]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2019.02.25 00:30	2019.02.25 00:45	110.73900	110.75900	110.58787	110.62329	110.65870	110.69411	110.72953
2	2019.02.25 01:15	2019.02.25 01:30	110.77200	110.79500	110.60139	110.64227	110.68315	110.72403	110.76491
3	2019.02.25 02:15	2019.02.25 02:30	110.80000	110.83900	110.60442	110.65701	110.70960	110.76219	110.81478
4	2019.02.25 04:00	2019.02.25 04:15	110.70200	110.70200	110.63185	110.68390	110.73595	110.78800	110.84005
5	2019.02.25 05:00	2019.02.25 05:15	110.61800	110.63000	110.60708	110.66877	110.73045	110.79213	110.85382
6	2019.02.25 05:45	2019.02.25 06:00	110.64300	110.64400	110.57656	110.64648	110.71640	110.78632	110.85624
7	2019.02.22 01:15	2019.02.22 01:30	110.67900	110.68300	110.63143	110.66606	110.70070	110.73534	110.76997
8	2019.02.22 01:30	2019.02.22 01:45	110.68300	110.70300	110.63361	110.66511	110.69660	110.72809	110.75959
9	2019.02.22 02:30	2019.02.22 02:45	110.69300	110.71000	110.64383	110.66384	110.68385	110.70386	110.72387
10	2019.02.22 02:45	2019.02.22 03:00	110.71000	110.71600	110.64617	110.66624	110.68630	110.70636	110.72643
11	2019.02.22 04:00	2019.02.22 04:15	110.71500	110.75200	110.64300	110.66628	110.68955	110.71282	110.73610
12	2019.02.22 04:45	2019.02.22 05:00	110.74300	110.74500	110.63707	110.66698	110.69690	110.72682	110.75673
13	2019.02.22 06:15	2019.02.22 06:30	110.77000	110.79400	110.66147	110.69016	110.71885	110.74754	110.77623
14	2019.02.22 07:15	2019.02.22 07:30	110.75700	110.77800	110.68657	110.71183	110.73710	110.76237	110.78763
15	2019.02.22 10:15	2019.02.22 10:30	110.74900	110.76800	110.71410	110.73430	110.75450	110.77470	110.79490
16	2019.02.22 10:30	2019.02.22 10:45	110.76800	110.77200	110.71671	110.73648	110.75625	110.77602	110.79579
17	2019.02.22 10:45	2019.02.22 11:00	110.77200	110.78400	110.71893	110.73846	110.75800	110.77754	110.79707
18	2019.02.22 11:00	2019.02.22 11:15	110.78400	110.82400	110.72149	110.74099	110.76050	110.78001	110.79951
19	2019.02.22 11:15	2019.02.22 11:30	110.82400	110.83200	110.71544	110.73932	110.76320	110.78708	110.81096
20	2019.02.22 11:30	2019.02.22 11:45	110.83200	110.83500	110.71011	110.73761	110.76510	110.79259	110.82009
