Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
234;126.559;126.564;126.404;126.448;57.5873345901;49.8318708072;126.533457921;126.3252289605;126.117;125.9087710395;125.700542079;-0.111;0.16;2018.08.17 23:00;2018.08.18 06:00;1
235;126.556;126.606;126.454;126.559;60.3107477763;48.3330074036;126.4869920061;126.2930960031;126.0992;125.9053039969;125.7114079939;0.003;0.152;2018.08.17 22:00;2018.08.18 05:00;2
236;125.975;126.591;125.964;126.555;60.2463866277;46.9108948649;126.4164867777;126.2498683888;126.08325;125.9166316112;125.7500132223;0.58;0.627;2018.08.17 21:00;2018.08.18 04:00;3
237;125.957;125.999;125.882;125.978;48.8881168944;43.874144802;126.3244857469;126.1946928735;126.0649;125.9351071265;125.8053142531;0.021;0.117;2018.08.17 20:00;2018.08.18 03:00;4
238;126.122;126.139;125.948;125.957;48.378156836;40.4882219664;126.3358603103;126.2054051551;126.07495;125.9444948449;125.8140396897;-0.165;0.191;2018.08.17 19:00;2018.08.18 02:00;5
239;126.015;126.137;125.931;126.121;52.2454867136;42.9681115907;126.3410014608;126.2126507304;126.0843;125.9559492696;125.8275985392;0.106;0.206;2018.08.17 18:00;2018.08.18 01:00;6
240;126.077;126.165;125.894;126.017;49.8293311802;41.1864711668;126.3432931509;126.2144465754;126.0856;125.9567534246;125.8279068491;-0.06;0.271;2018.08.17 17:00;2018.08.18 00:00;7
241;125.908;126.158;125.86;126.079;51.2992851417;46.5066603382;126.3432902725;126.2144701362;126.08565;125.9568298638;125.8280097275;0.171;0.298;2018.08.17 16:00;2018.08.17 23:00;8
242;125.825;125.989;125.576;125.904;47.1160474036;40.6860650389;126.3444644679;126.2114072339;126.07835;125.9452927661;125.8122355321;0.079;0.413;2018.08.17 15:00;2018.08.17 22:00;9
243;125.854;125.909;125.745;125.824;45.066833039;40.9279289848;126.3399003684;126.2126751842;126.08545;125.9582248158;125.8309996316;-0.03;0.164;2018.08.17 14:00;2018.08.17 21:00;10
244;125.822;125.873;125.66;125.854;45.6976630532;41.2804219929;126.3456951747;126.2269225873;126.10815;125.9893774127;125.8706048253;0.032;0.213;2018.08.17 13:00;2018.08.17 20:00;11
245;126.185;126.205;125.819;125.821;44.8915616013;49.0664215475;126.3299053088;126.2263026544;126.1227;126.0190973456;125.9154946912;-0.364;0.386;2018.08.17 12:00;2018.08.17 19:00;12
246;126.072;126.437;126.055;126.189;53.2688161575;57.2521519891;126.2932232149;126.2161116074;126.139;126.0618883926;125.9847767851;0.117;0.382;2018.08.17 11:00;2018.08.17 18:00;13
247;126.115;126.166;126.022;126.078;50.6287816129;49.2854338616;126.3442542913;126.2306521457;126.11705;126.0034478543;125.8898457087;-0.037;0.144;2018.08.17 10:00;2018.08.17 17:00;14
248;126.206;126.225;126.069;126.112;51.4749926059;48.9901156464;126.3458713196;126.2293356598;126.1128;125.9962643402;125.8797286804;-0.094;0.156;2018.08.17 09:00;2018.08.17 16:00;15
249;126.153;126.206;126.102;126.206;53.8384414564;54.7113074167;126.3446662904;126.2265331452;126.1084;125.9902668548;125.8721337096;0.053;0.104;2018.08.17 08:00;2018.08.17 15:00;16
250;126.122;126.212;126.122;126.153;52.674539537;49.8625060051;126.3341977253;126.2163238627;126.09845;125.9805761373;125.8627022747;0.031;0.09;2018.08.17 07:00;2018.08.17 14:00;17
251;126.214;126.214;126.107;126.122;52.0020774704;52.1843185367;126.3307995522;126.2135497761;126.0963;125.9790502239;125.8618004478;-0.092;0.107;2018.08.17 06:00;2018.08.17 13:00;18
252;126.151;126.257;126.14;126.211;54.0986570178;49.6323088012;126.3320891459;126.209269573;126.08645;125.963630427;125.8408108541;0.06;0.117;2018.08.17 05:00;2018.08.17 12:00;19
253;126.091;126.271;126.028;126.152;52.9028223391;44.8099253658;126.3177953742;126.1982226871;126.07865;125.9590773129;125.8395046258;0.061;0.243;2018.08.17 04:00;2018.08.17 11:00;20
254;126.244;126.244;126.048;126.092;51.6868205488;45.2758077187;126.3385581885;126.2118540943;126.08515;125.9584459057;125.8317418115;-0.152;0.196;2018.08.17 03:00;2018.08.17 10:00;21
255;126.188;126.268;126.185;126.24;55.0153897975;45.3507984233;126.3388445896;126.2121222948;126.0854;125.9586777052;125.8319554104;0.052;0.083;2018.08.17 02:00;2018.08.17 09:00;22
256;126.183;126.213;126.153;126.188;54.027191624;47.2827603268;126.3318186751;126.2074843376;126.08315;125.9588156624;125.8344813249;0.005;0.06;2018.08.17 01:00;2018.08.17 08:00;23
257;126.074;126.186;125.974;126.179;53.860537761;49.8039138283;126.3211146717;126.1991073358;126.0771;125.9550926642;125.8330853283;0.105;0.212;2018.08.17 00:00;2018.08.17 07:00;24
258;126.148;126.185;126.118;126.144;53.2342244654;57.7312048453;126.3111823427;126.1882911714;126.0654;125.9425088286;125.8196176573;-0.004;0.067;2018.08.16 23:00;2018.08.17 06:00;25
