"[20181225_173505 / libfx_2.py:2898] "				
"##################################################"				
"Source csv"	": 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135340.(m-01).20180926_205209.csv"			
"Pair"	": EURJPY"			
"Period"	": H1"			
"##################################################"				
				
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.02 11:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.02 13:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.03 10:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.03 17:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.03 19:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.03 21:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.04 19:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.05 02:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.05 15:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.05 17:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.05 19:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.08 03:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.08 12:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.09 05:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.09 07:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.09 10:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.09 16:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.10 01:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.10 04:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.10 15:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.10 19:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.10 22:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.11 05:00"
"a0[0]"	1	" / "	"a0[1].dateTime"	"2018.01.11 07:00"
