[20190208_173856 / views.py:5924]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.SHRINK-200.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190208_173820.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190208_173820

'============== SL ==============
e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff
11476	3	2019.01.23 00:05	7	2019.01.23 00:09	124.260	124.239	-0.021
11468	11	2019.01.23 00:13	15	2019.01.23 00:17	124.258	124.234	-0.024
11452	17	2019.01.23 00:19	31	2019.01.23 00:33	124.254	124.205	-0.049
11298	184	2019.01.23 03:06	185	2019.01.23 03:07	124.397	124.372	-0.025
11288	194	2019.01.23 03:16	195	2019.01.23 03:17	124.482	124.469	-0.013
					-0.132

'============== TP ==============
e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff
11414	33	2019.01.23 00:35	69	2019.01.23 01:11	124.231	124.252	0.021
11363	70	2019.01.23 01:12	120	2019.01.23 02:02	124.246	124.310	0.064
11335	121	2019.01.23 02:03	148	2019.01.23 02:30	124.297	124.355	0.058
11300	149	2019.01.23 02:31	183	2019.01.23 03:05	124.353	124.410	0.057
11292	187	2019.01.23 03:09	191	2019.01.23 03:13	124.382	124.445	0.063
11290	192	2019.01.23 03:14	193	2019.01.23 03:15	124.492	124.495	0.003
					0.266


