[20190218_130947 / views.py:9431] 
source csv (1)	=	44_5.1_10_rawdata.(USDJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_094828.csv
source dpath (1)	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source csv (2)	=	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
source dpath (2)	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-46.[basic-stats,cat-2].[v-1.0].20190218_130944.log
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190218_130944


[basics]=========================
num of bars (1)	=	4500
num of bars (2)	=	4500
starting bar (1)	=	2018.12.05 09:45	open=	113.046
ending bar (1)	=	2019.02.14 02:45	close=	113.082
starting bar (2)	=	2018.12.05 09:45	open=	128.091
ending bar (2)	=	2019.02.14 02:45	close=	128.134

[correl]=========================
0.948

total / 100
s.n.	correl	start(1)	end(1)	start(2)	end(2)
1	0.526	2018.12.05 09:45	2018.12.05 20:45	2018.12.05 09:45	2018.12.05 20:45
2	0.991	2018.12.05 21:00	2018.12.06 08:00	2018.12.05 21:00	2018.12.06 08:00
3	0.135	2018.12.06 08:15	2018.12.06 19:15	2018.12.06 08:15	2018.12.06 19:15
4	0.915	2018.12.06 19:30	2018.12.07 06:30	2018.12.06 19:30	2018.12.07 06:30
5	0.125	2018.12.07 06:45	2018.12.07 17:45	2018.12.07 06:45	2018.12.07 17:45
6	0.195	2018.12.07 18:00	2018.12.10 07:00	2018.12.07 18:00	2018.12.10 07:00
7	0.369	2018.12.10 07:15	2018.12.10 18:15	2018.12.10 07:15	2018.12.10 18:15
8	0.876	2018.12.10 18:30	2018.12.11 05:30	2018.12.10 18:30	2018.12.11 05:30
9	-0.046	2018.12.11 05:45	2018.12.11 16:45	2018.12.11 05:45	2018.12.11 16:45
10	0.813	2018.12.11 17:00	2018.12.12 04:00	2018.12.11 17:00	2018.12.12 04:00
11	-0.332	2018.12.12 04:15	2018.12.12 15:15	2018.12.12 04:15	2018.12.12 15:15
12	0.174	2018.12.12 15:30	2018.12.13 02:30	2018.12.12 15:30	2018.12.13 02:30
13	0.407	2018.12.13 02:45	2018.12.13 13:45	2018.12.13 02:45	2018.12.13 13:45
14	0.109	2018.12.13 14:00	2018.12.14 01:00	2018.12.13 14:00	2018.12.14 01:00
15	0.026	2018.12.14 01:15	2018.12.14 12:15	2018.12.14 01:15	2018.12.14 12:15
16	0.607	2018.12.14 12:30	2018.12.14 23:30	2018.12.14 12:30	2018.12.14 23:30
17	0.828	2018.12.14 23:45	2018.12.17 10:45	2018.12.14 23:45	2018.12.17 10:45
18	0.954	2018.12.17 11:00	2018.12.17 22:00	2018.12.17 11:00	2018.12.17 22:00
19	0.923	2018.12.17 22:15	2018.12.18 09:15	2018.12.17 22:15	2018.12.18 09:15
20	0.050	2018.12.18 09:30	2018.12.18 20:30	2018.12.18 09:30	2018.12.18 20:30
21	0.127	2018.12.18 20:45	2018.12.19 07:45	2018.12.18 20:45	2018.12.19 07:45
22	-0.507	2018.12.19 08:00	2018.12.19 19:00	2018.12.19 08:00	2018.12.19 19:00
23	-0.219	2018.12.19 19:15	2018.12.20 06:15	2018.12.19 19:15	2018.12.20 06:15
24	-0.241	2018.12.20 06:30	2018.12.20 17:30	2018.12.20 06:30	2018.12.20 17:30
25	0.123	2018.12.20 17:45	2018.12.21 04:45	2018.12.20 17:45	2018.12.21 04:45
26	0.718	2018.12.21 05:00	2018.12.21 16:00	2018.12.21 05:00	2018.12.21 16:00
27	0.406	2018.12.21 16:15	2018.12.24 03:15	2018.12.21 16:15	2018.12.24 03:15
28	0.335	2018.12.24 03:30	2018.12.24 14:30	2018.12.24 03:30	2018.12.24 14:30
29	0.919	2018.12.24 14:45	2018.12.25 03:45	2018.12.24 14:45	2018.12.25 03:45
30	0.961	2018.12.25 04:00	2018.12.26 07:15	2018.12.25 04:00	2018.12.26 07:15
31	-0.048	2018.12.26 07:30	2018.12.26 18:30	2018.12.26 07:30	2018.12.26 18:30
32	0.730	2018.12.26 18:45	2018.12.27 05:45	2018.12.26 18:45	2018.12.27 05:45
33	0.595	2018.12.27 06:00	2018.12.27 17:00	2018.12.27 06:00	2018.12.27 17:00
34	0.739	2018.12.27 17:15	2018.12.28 04:15	2018.12.27 17:15	2018.12.28 04:15
35	0.868	2018.12.28 04:30	2018.12.28 15:30	2018.12.28 04:30	2018.12.28 15:30
36	0.997	2018.12.28 15:45	2019.01.03 02:45	2018.12.28 15:45	2019.01.03 02:45
37	0.952	2019.01.03 03:00	2019.01.03 14:00	2019.01.03 03:00	2019.01.03 14:00
38	0.706	2019.01.03 14:15	2019.01.04 01:15	2019.01.03 14:15	2019.01.04 01:15
39	0.958	2019.01.04 01:30	2019.01.04 12:30	2019.01.04 01:30	2019.01.04 12:30
40	0.674	2019.01.04 12:45	2019.01.04 23:45	2019.01.04 12:45	2019.01.04 23:45
41	0.789	2019.01.07 00:00	2019.01.07 11:00	2019.01.07 00:00	2019.01.07 11:00
42	0.955	2019.01.07 11:15	2019.01.07 22:15	2019.01.07 11:15	2019.01.07 22:15
43	0.233	2019.01.07 22:30	2019.01.08 09:30	2019.01.07 22:30	2019.01.08 09:30
44	0.819	2019.01.08 09:45	2019.01.08 20:45	2019.01.08 09:45	2019.01.08 20:45
45	0.882	2019.01.08 21:00	2019.01.09 08:00	2019.01.08 21:00	2019.01.09 08:00
46	0.024	2019.01.09 08:15	2019.01.09 19:15	2019.01.09 08:15	2019.01.09 19:15
47	0.792	2019.01.09 19:30	2019.01.10 06:30	2019.01.09 19:30	2019.01.10 06:30
48	-0.004	2019.01.10 06:45	2019.01.10 17:45	2019.01.10 06:45	2019.01.10 17:45
49	0.183	2019.01.10 18:00	2019.01.11 05:00	2019.01.10 18:00	2019.01.11 05:00
50	0.211	2019.01.11 05:15	2019.01.11 16:15	2019.01.11 05:15	2019.01.11 16:15
51	0.317	2019.01.11 16:30	2019.01.14 03:30	2019.01.11 16:30	2019.01.14 03:30
52	0.723	2019.01.14 03:45	2019.01.14 14:45	2019.01.14 03:45	2019.01.14 14:45
53	0.789	2019.01.14 15:00	2019.01.15 02:00	2019.01.14 15:00	2019.01.15 02:00
54	0.351	2019.01.15 02:15	2019.01.15 13:15	2019.01.15 02:15	2019.01.15 13:15
55	-0.026	2019.01.15 13:30	2019.01.16 00:30	2019.01.15 13:30	2019.01.16 00:30
56	0.837	2019.01.16 00:45	2019.01.16 11:45	2019.01.16 00:45	2019.01.16 11:45
57	0.773	2019.01.16 12:00	2019.01.16 23:00	2019.01.16 12:00	2019.01.16 23:00
58	0.908	2019.01.16 23:15	2019.01.17 10:15	2019.01.16 23:15	2019.01.17 10:15
59	0.827	2019.01.17 10:30	2019.01.17 21:30	2019.01.17 10:30	2019.01.17 21:30
60	0.980	2019.01.17 21:45	2019.01.18 08:45	2019.01.17 21:45	2019.01.18 08:45
61	-0.052	2019.01.18 09:00	2019.01.18 20:00	2019.01.18 09:00	2019.01.18 20:00
62	0.747	2019.01.18 20:15	2019.01.21 07:15	2019.01.18 20:15	2019.01.21 07:15
63	-0.337	2019.01.21 07:30	2019.01.21 18:30	2019.01.21 07:30	2019.01.21 18:30
64	0.961	2019.01.21 18:45	2019.01.22 05:45	2019.01.21 18:45	2019.01.22 05:45
65	0.591	2019.01.22 06:00	2019.01.22 17:00	2019.01.22 06:00	2019.01.22 17:00
66	0.951	2019.01.22 17:15	2019.01.23 04:15	2019.01.22 17:15	2019.01.23 04:15
67	0.744	2019.01.23 04:30	2019.01.23 15:30	2019.01.23 04:30	2019.01.23 15:30
68	0.750	2019.01.23 15:45	2019.01.24 02:45	2019.01.23 15:45	2019.01.24 02:45
69	-0.466	2019.01.24 03:00	2019.01.24 14:00	2019.01.24 03:00	2019.01.24 14:00
70	-0.067	2019.01.24 14:15	2019.01.25 01:15	2019.01.24 14:15	2019.01.25 01:15
71	0.927	2019.01.25 01:30	2019.01.25 12:30	2019.01.25 01:30	2019.01.25 12:30
72	-0.403	2019.01.25 12:45	2019.01.25 23:45	2019.01.25 12:45	2019.01.25 23:45
73	0.687	2019.01.28 00:00	2019.01.28 11:00	2019.01.28 00:00	2019.01.28 11:00
74	0.114	2019.01.28 11:15	2019.01.28 22:15	2019.01.28 11:15	2019.01.28 22:15
