[20181001_123032 / libfx.py:7035]
source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135340.(m-05).20180926_205209.csv
log file = op_2-2.detect.highs-lows.v-3.EURJPY-Period-H1.(m-05).20181001_123030.log

lo_Highs	lo_Lows	lenOf_LO_BarDatas
99	92	552
0.179	0.167	1.000

[20181001_123032 / libfx.py:7082]
<highs>
datetime(local)	start	current	diff
2018.05.31 16:00	126.9240	126.9200	-0.0040
2018.05.31 14:00	126.8040	126.8040	0.0000
2018.05.31 11:00	126.6450	126.5320	-0.1130
2018.05.30 23:00	126.4050	126.4090	0.0040
2018.05.30 12:00	126.3650	125.1830	-1.1820
2018.05.30 09:00	125.1370	125.0730	-0.0640
2018.05.30 07:00	125.3450	125.3450	0.0000
2018.05.30 04:00	125.3500	124.8230	-0.5270
2018.05.29 18:00	125.9010	125.3560	-0.5450
2018.05.29 12:00	126.8290	126.7190	-0.1100
2018.05.29 06:00	127.0610	127.1830	0.1220
2018.05.29 03:00	127.1840	127.1570	-0.0270
2018.05.28 22:00	127.1740	126.9410	-0.2330
2018.05.28 11:00	128.2250	128.0300	-0.1950
2018.05.26 03:00	127.5930	127.5940	0.0010
2018.05.25 23:00	127.5650	127.2110	-0.3540
2018.05.25 21:00	127.6280	127.6290	0.0010
2018.05.25 07:00	128.1410	127.9890	-0.1520
2018.05.25 00:00	128.1990	127.8390	-0.3600
2018.05.24 15:00	128.3610	128.1580	-0.2030
2018.05.24 13:00	128.1150	128.1150	0.0000
2018.05.24 11:00	128.0940	128.0940	0.0000
2018.05.23 21:00	128.3790	128.3820	0.0030
2018.05.23 19:00	128.5090	128.5080	-0.0010
2018.05.23 17:00	128.8220	128.8250	0.0030
2018.05.23 00:00	130.7010	130.7020	0.0010
2018.05.22 22:00	130.6660	130.6660	0.0000
2018.05.22 14:00	130.6830	130.6180	-0.0650
2018.05.22 11:00	130.6600	130.6210	-0.0390
2018.05.22 02:00	130.8610	130.6800	-0.1810
2018.05.22 00:00	130.6780	130.6810	0.0030
2018.05.21 17:00	130.6900	130.5720	-0.1180
2018.05.21 12:00	130.6040	130.4600	-0.1440
2018.05.21 10:00	130.4300	130.4290	-0.0010
2018.05.21 08:00	130.4520	130.4510	-0.0010
2018.05.18 15:00	130.9210	130.9190	-0.0020
2018.05.18 09:00	130.8980	130.6880	-0.2100
2018.05.18 06:00	130.6570	130.6500	-0.0070
2018.05.17 23:00	130.6290	130.6260	-0.0030
2018.05.17 20:00	130.4490	130.4020	-0.0470
2018.05.17 16:00	130.3600	130.3590	-0.0010
2018.05.17 11:00	130.3840	130.2980	-0.0860
2018.05.17 07:00	130.2570	130.2600	0.0030
2018.05.17 04:00	130.2380	130.1210	-0.1170
2018.05.17 01:00	130.0340	129.9170	-0.1170
2018.05.16 08:00	130.3320	130.3300	-0.0020
2018.05.15 17:00	131.0140	131.0120	-0.0020
2018.05.15 14:00	130.9690	130.9420	-0.0270
2018.05.15 12:00	130.9380	130.9370	-0.0010
2018.05.15 06:00	130.8660	130.7690	-0.0970
2018.05.14 20:00	131.2310	131.1980	-0.0330
2018.05.14 14:00	130.8910	130.7830	-0.1080
2018.05.14 11:00	130.8020	130.6810	-0.1210
2018.05.12 04:00	130.6590	130.5300	-0.1290
2018.05.11 21:00	130.5510	130.4130	-0.1380
2018.05.11 16:00	130.4660	130.1000	-0.3660
2018.05.11 14:00	130.3960	130.4020	0.0060
2018.05.11 10:00	130.3740	130.2450	-0.1290
2018.05.11 06:00	130.3890	130.3490	-0.0400
2018.05.11 04:00	130.4590	130.4580	-0.0010
2018.05.11 00:00	130.3640	130.1990	-0.1650
2018.05.10 11:00	130.2370	130.1100	-0.1270
2018.05.10 05:00	130.1260	130.0420	-0.0840
2018.05.10 01:00	130.0560	129.9940	-0.0620
2018.05.09 19:00	130.0900	130.0900	0.0000
2018.05.09 16:00	129.8890	129.7180	-0.1710
2018.05.09 14:00	129.7720	129.7720	0.0000
2018.05.09 12:00	129.7810	129.7820	0.0010
2018.05.09 07:00	129.6280	129.3660	-0.2620
2018.05.09 04:00	129.4540	129.2820	-0.1720
2018.05.08 23:00	129.4690	129.4180	-0.0510
2018.05.08 21:00	129.4100	129.4090	-0.0010
2018.05.08 19:00	129.3740	129.3740	0.0000
2018.05.08 13:00	129.8920	129.8900	-0.0020
2018.05.08 11:00	129.8960	129.8960	0.0000
2018.05.08 05:00	130.0310	130.0310	0.0000
2018.05.08 03:00	130.0210	130.0190	-0.0020
2018.05.07 21:00	130.1510	130.1500	-0.0010
2018.05.07 10:00	130.3620	130.3600	-0.0020
2018.05.05 05:00	130.4690	130.4430	-0.0260
2018.05.05 02:00	130.4670	130.3620	-0.1050
2018.05.05 00:00	130.1490	130.1490	0.0000
2018.05.04 22:00	130.2090	130.2090	0.0000
2018.05.04 12:00	130.6650	130.6640	-0.0010
2018.05.04 00:00	130.8530	130.3420	-0.5110
2018.05.03 22:00	130.8890	130.8910	0.0020
2018.05.03 15:00	131.3580	131.3590	0.0010
2018.05.03 09:00	131.4010	131.2730	-0.1280
2018.05.03 05:00	131.2780	131.2790	0.0010
2018.05.03 03:00	131.4150	131.4060	-0.0090
2018.05.02 18:00	131.7830	131.7860	0.0030
2018.05.02 10:00	131.7010	131.7010	0.0000
2018.05.02 03:00	131.6700	131.6700	0.0000
2018.05.02 00:00	131.6530	131.6440	-0.0090
2018.05.01 11:00	132.0500	132.0520	0.0020
2018.05.01 07:00	132.0110	132.0010	-0.0100
2018.05.01 05:00	132.0060	132.0100	0.0040
2018.05.01 03:00	132.0230	132.0220	-0.0010
2018.05.01 01:00	131.9400	131.9430	0.0030

<lows>
datetime(local)	start	current	diff
2018.05.31 21:00	127.0180	127.4440	0.4260
2018.05.31 18:00	127.3760	127.6750	0.2990
2018.05.31 07:00	126.8280	127.0410	0.2130
2018.05.31 05:00	127.0380	127.0410	0.0030
2018.05.31 01:00	126.9280	127.2140	0.2860
2018.05.30 21:00	126.8010	126.8020	0.0010
2018.05.30 02:00	125.5840	125.5840	0.0000
2018.05.29 23:00	125.8730	126.1900	0.3170
2018.05.29 15:00	126.3230	126.8730	0.5500
2018.05.29 08:00	126.9770	127.2510	0.2740
2018.05.28 15:00	127.5090	128.4720	0.9630
2018.05.28 07:00	128.1220	128.3260	0.2040
2018.05.26 05:00	127.6350	127.6360	0.0010
2018.05.25 18:00	128.2260	128.4530	0.2270
2018.05.25 13:00	128.0050	128.3030	0.2980
2018.05.25 11:00	128.3660	128.3650	-0.0010
2018.05.25 03:00	128.1090	128.3170	0.2080
2018.05.24 22:00	128.5670	128.5680	0.0010
2018.05.24 18:00	128.5450	128.7760	0.2310
2018.05.24 08:00	128.6600	128.7360	0.0760
2018.05.24 05:00	128.7410	128.8920	0.1510
2018.05.24 02:00	128.8040	128.9210	0.1170
2018.05.23 23:00	128.6820	128.8550	0.1730
2018.05.23 13:00	129.9800	129.9980	0.0180
2018.05.23 10:00	129.9770	130.6120	0.6350
2018.05.23 07:00	130.5740	130.6290	0.0550
2018.05.23 04:00	130.6400	130.7480	0.1080
2018.05.23 02:00	130.7380	130.7370	-0.0010
2018.05.22 19:00	131.0730	131.1250	0.0520
2018.05.22 17:00	131.2600	131.2600	0.0000
2018.05.22 07:00	130.8640	130.9370	0.0730
2018.05.21 22:00	130.9370	130.9370	0.0000
2018.05.21 20:00	130.8410	130.8420	0.0010
2018.05.21 15:00	130.7850	130.7850	0.0000
2018.05.19 06:00	130.4940	130.3580	-0.1360
2018.05.19 01:00	130.3010	130.3650	0.0640
2018.05.18 20:00	130.4100	130.8100	0.4000
2018.05.18 17:00	130.9890	131.0020	0.0130
2018.05.18 12:00	130.9540	130.9720	0.0180
2018.05.18 04:00	130.6700	130.6700	0.0000
2018.05.18 01:00	130.6100	130.6690	0.0590
2018.05.17 18:00	130.7590	130.7550	-0.0040
2018.05.17 09:00	130.3990	130.3990	0.0000
2018.05.16 23:00	130.0240	130.0220	-0.0020
2018.05.16 21:00	129.8560	129.8580	0.0020
2018.05.16 17:00	130.0700	130.5350	0.4650
2018.05.16 15:00	130.5520	130.5520	0.0000
2018.05.16 13:00	130.4950	130.4940	-0.0010
2018.05.16 10:00	130.4370	130.5190	0.0820
2018.05.16 02:00	130.6150	130.8590	0.2440
2018.05.16 00:00	130.8240	130.8230	-0.0010
2018.05.15 19:00	130.5530	131.0770	0.5240
2018.05.15 10:00	130.9660	130.9660	0.0000
2018.05.15 04:00	130.9750	130.9720	-0.0030
2018.05.15 01:00	131.0480	131.1610	0.1130
2018.05.14 23:00	131.3370	131.3380	0.0010
2018.05.14 18:00	131.2840	131.2840	0.0000
2018.05.12 02:00	130.6080	130.6170	0.0090
2018.05.12 00:00	130.6400	130.6410	0.0010
2018.05.10 22:00	130.5080	130.5070	-0.0010
2018.05.10 20:00	130.3750	130.3750	0.0000
2018.05.10 16:00	130.3400	130.4590	0.1190
2018.05.09 23:00	130.3910	130.3890	-0.0020
2018.05.09 21:00	130.3480	130.3430	-0.0050
2018.05.09 02:00	129.5560	129.5550	-0.0010
2018.05.08 15:00	129.8110	129.9840	0.1730
2018.05.08 08:00	130.0090	130.1100	0.1010
2018.05.08 01:00	130.1750	130.1740	-0.0010
2018.05.07 23:00	130.2560	130.2550	-0.0010
2018.05.07 18:00	130.3490	130.3980	0.0490
2018.05.07 14:00	130.3670	130.5070	0.1400
2018.05.07 12:00	130.4590	130.4640	0.0050
2018.05.04 19:00	130.4000	130.4970	0.0970
2018.05.04 14:00	130.5020	130.7670	0.2650
2018.05.04 10:00	130.8350	130.8340	-0.0010
2018.05.04 06:00	130.8330	130.9120	0.0790
2018.05.04 04:00	130.9690	130.9690	0.0000
2018.05.03 17:00	131.1030	131.5990	0.4960
2018.05.03 07:00	131.3270	131.3320	0.0050
2018.05.03 01:00	131.5620	131.5610	-0.0010
2018.05.02 22:00	131.5960	131.8930	0.2970
2018.05.02 20:00	131.8680	131.8690	0.0010
2018.05.02 16:00	131.9730	131.9730	0.0000
2018.05.02 14:00	131.7510	131.7510	0.0000
2018.05.02 12:00	131.7380	131.7390	0.0010
2018.05.02 08:00	131.8080	131.8080	0.0000
2018.05.02 05:00	131.7740	131.8170	0.0430
2018.05.01 22:00	131.9240	131.9220	-0.0020
2018.05.01 19:00	131.9440	131.9630	0.0190
2018.05.01 17:00	132.0380	132.0380	0.0000
2018.05.01 13:00	132.0570	132.0960	0.0390
2018.05.01 09:00	132.1000	132.1050	0.0050

