[20180929_120556 / libfx.py:6187]
id	datetime	prev-1	prev-2	prev-3

573	2018.07.31 18:00	0	1	1
576	2018.07.31 15:00	0	1	1
590	2018.07.31 01:00	0	0	1
591	2018.07.31 00:00	1	0	0
592	2018.07.30 23:00	1	1	0
596	2018.07.30 19:00	0	0	1
597	2018.07.30 18:00	1	0	0
604	2018.07.30 11:00	0	1	0
607	2018.07.30 08:00	0	1	1
610	2018.07.28 05:00	0	1	1
611	2018.07.28 04:00	1	0	1
654	2018.07.26 09:00	0	1	0
658	2018.07.26 05:00	0	0	1
668	2018.07.25 19:00	0	0	1
669	2018.07.25 18:00	1	0	0
670	2018.07.25 17:00	1	1	0
671	2018.07.25 16:00	1	1	1
677	2018.07.25 10:00	0	0	0
702	2018.07.24 09:00	0	1	0
740	2018.07.20 19:00	0	0	0
817	2018.07.17 14:00	0	1	0
818	2018.07.17 13:00	1	0	1
821	2018.07.17 10:00	0	1	1
822	2018.07.17 09:00	1	0	1
835	2018.07.16 20:00	0	0	1
836	2018.07.16 19:00	1	0	0
837	2018.07.16 18:00	1	1	0
840	2018.07.16 15:00	0	1	1
847	2018.07.16 08:00	0	1	0
869	2018.07.13 10:00	0	0	0
870	2018.07.13 09:00	1	0	0
880	2018.07.12 23:00	0	1	0
883	2018.07.12 20:00	0	1	1
886	2018.07.12 17:00	0	1	1
887	2018.07.12 16:00	1	0	1
892	2018.07.12 11:00	0	1	0
893	2018.07.12 10:00	1	0	1
901	2018.07.12 02:00	0	1	0
904	2018.07.11 23:00	0	1	1
923	2018.07.11 04:00	0	0	0
924	2018.07.11 03:00	1	0	0
925	2018.07.11 02:00	1	1	0
941	2018.07.10 10:00	0	1	0
942	2018.07.10 09:00	1	0	1
951	2018.07.10 00:00	0	1	0
954	2018.07.09 21:00	0	1	1
959	2018.07.09 16:00	0	1	0
964	2018.07.09 11:00	0	1	0
965	2018.07.09 10:00	1	0	1
977	2018.07.06 22:00	0	1	0
983	2018.07.06 16:00	0	1	0
1004	2018.07.05 19:00	0	1	0
1008	2018.07.05 15:00	0	0	1
1054	2018.07.03 17:00	0	0	0
1055	2018.07.03 16:00	1	0	0
1061	2018.07.03 10:00	0	1	0
1062	2018.07.03 09:00	1	0	1
1083	2018.07.02 12:00	0	0	0
[20180929_120558 / libfx.py:6295] patterns
100 = 0
101 = 0
110 = 0
111 = 0
