Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
729;130.755;130.785;130.541;130.623;36.9136951186;46.5034555086;131.0890624765;130.9810562382;130.87305;130.7650437618;130.6570375235;-0.132;0.244;2018.07.20 23:00;2018.07.21 06:00;1
730;130.749;130.825;130.734;130.752;40.7131988969;49.7920033506;131.1133119222;131.0061559611;130.899;130.7918440389;130.6846880778;0.003;0.091;2018.07.20 22:00;2018.07.21 05:00;2
731;130.738;130.802;130.698;130.75;40.6231828027;49.4198250386;131.1135621236;131.0113310618;130.9091;130.8068689382;130.7046378764;0.012;0.104;2018.07.20 21:00;2018.07.21 04:00;3
732;130.779;130.806;130.71;130.736;40.0175519682;51.8846945278;131.1102127707;131.0145313853;130.91885;130.8231686147;130.7274872293;-0.043;0.096;2018.07.20 20:00;2018.07.21 03:00;4
733;130.833;130.896;130.756;130.777;41.1863065823;51.6680410531;131.1000807821;131.0140653911;130.92805;130.8420346089;130.7560192179;-0.056;0.14;2018.07.20 19:00;2018.07.21 02:00;5
734;130.92;130.945;130.804;130.834;42.8387405714;53.6783463512;131.0948439698;131.0159719849;130.9371;130.8582280151;130.7793560302;-0.086;0.141;2018.07.20 18:00;2018.07.21 01:00;6
735;131.038;131.038;130.73;130.919;45.420342971;54.8392910502;131.0920416334;131.0164458167;130.94085;130.8652541833;130.7896583666;-0.119;0.308;2018.07.20 17:00;2018.07.21 00:00;7
736;130.907;131.039;130.844;131.039;49.4141784089;60.9631697668;131.0947517757;131.0190758878;130.9434;130.8677241122;130.7920482243;0.132;0.195;2018.07.20 16:00;2018.07.20 23:00;8
737;130.93;131.013;130.84;130.904;44.167253129;53.195637404;131.0826108961;131.0101054481;130.9376;130.8650945519;130.7925891039;-0.026;0.173;2018.07.20 15:00;2018.07.20 22:00;9
738;130.941;131.038;130.925;130.93;45.0216520346;55.6253903139;131.0883639186;131.0152569593;130.94215;130.8690430407;130.7959360814;-0.011;0.113;2018.07.20 14:00;2018.07.20 21:00;10
739;131.048;131.056;130.795;130.94;45.3421406228;50.816010777;131.1108660712;131.0306330356;130.9504;130.8701669644;130.7899339288;-0.108;0.261;2018.07.20 13:00;2018.07.20 20:00;11
