;;;source = 44_3.2_15_file-io.USDJPY.Period-H1.Days-5000.Bars-120000.20180903_134452.2018-06.csv;;;;;;;;;
;;;log = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180922_141143.log;;;;;;;;;
;;;csv = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180922_141143.(csv).csv;;;;;;;;;
id;dateTime;dateTime_Local;PC;dif-0;dif-1;dif-2;rsi.-1;rsi.-2;rsi.-3;mfi.-1;mfi.-2;mfi.-3
;;;;;;;;;;;;
495;2018.06.01 09:00;2018.06.01 16:00;109.072;0.089;0.034;0.015;56.835;57.864;59.501;56.033;60.205;63.864
494;2018.06.01 10:00;2018.06.01 17:00;109.161;0.034;0.015;0.056;59.033;56.835;57.864;56.872;56.033;60.205
490;2018.06.01 14:00;2018.06.01 21:00;109.185;0.252;0.248;0.029;58.433;61.727;60.266;76.16;71.554;63.342
462;2018.06.04 18:00;2018.06.05 01:00;109.639;0.022;0.025;0.02;58.475;56.407;54.206;50.244;44.66;42.641
461;2018.06.04 19:00;2018.06.05 02:00;109.661;0.025;0.02;0.031;59.207;58.475;56.407;52.114;50.244;44.66
460;2018.06.04 20:00;2018.06.05 03:00;109.687;0.02;0.031;0.094;60.014;59.207;58.475;54.693;52.114;50.244
456;2018.06.05 00:00;2018.06.05 07:00;109.784;0.026;0.094;0.063;63.835;64.549;61.562;51.911;56.17;56.356
420;2018.06.06 12:00;2018.06.06 19:00;110.061;0.097;0.018;0.035;61.723;62.636;60.821;64.22;63.954;56.894
413;2018.06.06 19:00;2018.06.07 02:00;110.001;0.119;0.052;0.013;55.138;56.691;54.861;62.255;60.766;66.933
412;2018.06.06 20:00;2018.06.07 03:00;110.12;0.052;0.013;0.025;59.331;55.138;56.691;62.648;62.255;60.766
355;2018.06.11 05:00;2018.06.11 12:00;109.445;0.259;0.027;0.06;44.862;45.026;45.373;42.388;44.073;39.168
336;2018.06.12 00:00;2018.06.12 07:00;110.022;0.035;0.106;0.226;60.056;59.847;59.781;60.142;63.629;65.745
314;2018.06.12 22:00;2018.06.13 05:00;110.336;0.019;0.025;0.033;58.147;60.289;56.203;55.46;55.503;49.677
313;2018.06.12 23:00;2018.06.13 06:00;110.348;0.025;0.033;0.065;58.758;58.147;60.289;51.943;55.46;55.503
312;2018.06.13 00:00;2018.06.13 07:00;110.346;0.033;0.065;0.007;59.349;58.758;58.147;48.471;51.943;55.46
311;2018.06.13 01:00;2018.06.13 08:00;110.379;0.065;0.007;0.019;59.552;59.349;58.758;58.55;48.471;51.943
310;2018.06.13 02:00;2018.06.13 09:00;110.444;0.007;0.019;0.062;61.736;59.552;59.349;64.216;58.55;48.471
309;2018.06.13 03:00;2018.06.13 10:00;110.451;0.019;0.062;0.069;61.969;61.736;59.552;63.572;64.216;58.55
308;2018.06.13 04:00;2018.06.13 11:00;110.47;0.062;0.069;0.023;62.618;61.969;61.736;57.724;63.572;64.216
307;2018.06.13 05:00;2018.06.13 12:00;110.533;0.069;0.023;0.009;64.69;62.618;61.969;64.131;57.724;63.572
268;2018.06.14 20:00;2018.06.15 03:00;110.436;0.129;0.011;0.033;56.897;56.979;50.396;54.503;51.7;45.32
267;2018.06.14 21:00;2018.06.15 04:00;110.559;0.011;0.033;0.004;60.677;56.897;56.979;63.64;54.503;51.7
266;2018.06.14 22:00;2018.06.15 05:00;110.572;0.033;0.004;0.081;60.82;60.677;56.897;69.28;63.64;54.503
259;2018.06.15 05:00;2018.06.15 12:00;110.554;0.139;0.01;0.046;57.289;57.796;60.964;65.965;66.565;69.618
258;2018.06.15 06:00;2018.06.15 13:00;110.693;0.01;0.046;0.133;61.751;57.289;57.796;70.438;65.965;66.565
186;2018.06.20 06:00;2018.06.20 13:00;110.077;0.051;0.031;0.047;49.429;49.593;46.241;58.57;59.943;61.117
173;2018.06.20 19:00;2018.06.21 02:00;110.138;0.057;0.026;0.178;51.365;49.786;53.391;42.688;43.706;40.833
172;2018.06.20 20:00;2018.06.21 03:00;110.194;0.026;0.178;0.001;53.724;51.365;49.786;43.394;42.688;43.706
80;2018.06.26 16:00;2018.06.26 23:00;109.704;0.068;0.107;0.048;51.278;46.258;50.818;35.164;30.559;35.842
79;2018.06.26 17:00;2018.06.27 00:00;109.772;0.107;0.048;0.067;53.501;51.278;46.258;40.465;35.164;30.559
78;2018.06.26 18:00;2018.06.27 01:00;109.878;0.048;0.067;0.162;56.681;53.501;51.278;46.705;40.465;35.164
58;2018.06.27 14:00;2018.06.27 21:00;109.862;0.324;0.05;0.16;50.907;51.715;47.923;48.73;50.806;50.926
57;2018.06.27 15:00;2018.06.27 22:00;110.196;0.05;0.16;0.073;60.146;50.907;51.715;49.328;48.73;50.806
32;2018.06.28 16:00;2018.06.28 23:00;110.147;0.16;0.06;0.018;50.564;53.442;52.316;47.028;48.334;42.884
5;2018.06.29 19:00;2018.06.30 02:00;110.717;0.062;0.014;0.075;59.499;60.599;60.784;48.278;43.742;48.395
