[20181001_123032 / libfx.py:7035]
source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135340.(m-06).20180926_205209.csv
log file = op_2-2.detect.highs-lows.v-3.EURJPY-Period-H1.(m-06).20181001_123030.log

lo_Highs	lo_Lows	lenOf_LO_BarDatas
90	92	511
0.176	0.180	1.000

[20181001_123033 / libfx.py:7082]
<highs>
datetime(local)	start	current	diff
2018.06.30 05:00	129.2750	129.2760	0.0010
2018.06.30 01:00	129.2820	129.2840	0.0020
2018.06.29 22:00	128.9370	128.7950	-0.1420
2018.06.29 20:00	128.7620	128.7540	-0.0080
2018.06.28 22:00	127.6390	127.3820	-0.2570
2018.06.28 18:00	127.4580	127.4570	-0.0010
2018.06.28 16:00	127.3500	127.3490	-0.0010
2018.06.28 10:00	127.4570	127.2580	-0.1990
2018.06.28 04:00	127.4230	127.3680	-0.0550
2018.06.27 11:00	128.0590	127.9770	-0.0820
2018.06.27 07:00	128.1330	128.1350	0.0020
2018.06.27 02:00	128.2320	128.2330	0.0010
2018.06.26 23:00	128.1830	128.0380	-0.1450
2018.06.26 21:00	127.8960	127.9020	0.0060
2018.06.26 19:00	127.9590	127.9630	0.0040
2018.06.26 13:00	128.1730	128.1730	0.0000
2018.06.26 11:00	128.1340	128.1340	0.0000
2018.06.26 03:00	128.0620	128.0630	0.0010
2018.06.25 19:00	127.6450	127.5640	-0.0810
2018.06.25 16:00	127.4580	127.2900	-0.1680
2018.06.23 00:00	127.9010	127.8920	-0.0090
2018.06.22 16:00	127.8780	127.8790	0.0010
2018.06.22 11:00	127.7860	127.6660	-0.1200
2018.06.22 07:00	127.5950	127.5400	-0.0550
2018.06.21 19:00	127.5520	127.1880	-0.3640
2018.06.21 13:00	127.8610	127.8590	-0.0020
2018.06.21 07:00	127.7120	127.7110	-0.0010
2018.06.21 00:00	127.7080	127.4750	-0.2330
2018.06.20 20:00	127.5720	127.2790	-0.2930
2018.06.20 18:00	127.2590	127.2580	-0.0010
2018.06.20 16:00	127.4220	127.4220	0.0000
2018.06.20 14:00	127.4560	127.4560	0.0000
2018.06.20 07:00	127.4630	127.4620	-0.0010
2018.06.20 02:00	127.4180	127.2150	-0.2030
2018.06.19 21:00	127.0120	126.8530	-0.1590
2018.06.19 19:00	126.8680	126.8710	0.0030
2018.06.19 01:00	128.3540	128.1800	-0.1740
2018.06.18 23:00	128.1470	128.1480	0.0010
2018.06.18 17:00	128.1020	127.8460	-0.2560
2018.06.18 11:00	127.9600	127.8330	-0.1270
2018.06.16 04:00	128.4280	128.3690	-0.0590
2018.06.16 02:00	128.3420	128.3410	-0.0010
2018.06.15 22:00	128.3610	128.2080	-0.1530
2018.06.15 17:00	128.2740	128.0820	-0.1920
2018.06.15 13:00	128.0180	128.0190	0.0010
2018.06.15 10:00	127.9000	127.8000	-0.1000
2018.06.15 00:00	128.4560	128.4590	0.0030
2018.06.13 23:00	129.9860	129.9140	-0.0720
2018.06.13 21:00	129.9590	129.9590	0.0000
2018.06.13 18:00	129.9880	129.9110	-0.0770
2018.06.13 16:00	129.8250	129.8240	-0.0010
2018.06.13 06:00	129.7540	129.6280	-0.1260
2018.06.13 04:00	129.6390	129.6380	-0.0010
2018.06.12 20:00	129.9070	129.9130	0.0060
2018.06.12 12:00	129.7250	129.7270	0.0020
2018.06.12 10:00	129.6540	129.6510	-0.0030
2018.06.12 05:00	129.7190	129.6680	-0.0510
2018.06.11 21:00	129.6660	129.5810	-0.0850
2018.06.11 07:00	129.1250	128.7060	-0.4190
2018.06.09 05:00	128.7820	128.7800	-0.0020
2018.06.09 03:00	128.7530	128.7540	0.0010
2018.06.09 00:00	128.8510	128.6610	-0.1900
2018.06.08 20:00	128.6900	128.2310	-0.4590
2018.06.08 18:00	128.6030	128.6050	0.0020
2018.06.08 13:00	129.4340	129.4340	0.0000
2018.06.08 11:00	129.5140	129.5150	0.0010
2018.06.08 09:00	129.3860	129.3810	-0.0050
2018.06.08 05:00	129.4260	129.4260	0.0000
2018.06.08 03:00	129.4700	129.4680	-0.0020
2018.06.07 19:00	130.0470	129.9170	-0.1300
2018.06.07 12:00	129.7830	129.5930	-0.1900
2018.06.07 03:00	129.6660	129.6180	-0.0480
2018.06.07 01:00	129.5570	129.5570	0.0000
2018.06.06 14:00	128.8140	128.7980	-0.0160
2018.06.06 12:00	128.7530	128.7540	0.0010
2018.06.06 10:00	128.7640	128.7650	0.0010
2018.06.06 05:00	128.7230	128.5290	-0.1940
2018.06.06 01:00	128.5600	127.9650	-0.5950
2018.06.05 22:00	128.0660	127.9470	-0.1190
2018.06.05 06:00	128.4300	128.4300	0.0000
2018.06.05 02:00	128.3700	128.1740	-0.1960
2018.06.05 00:00	128.2460	128.2480	0.0020
2018.06.04 22:00	128.2950	128.2970	0.0020
2018.06.04 20:00	128.3650	128.3600	-0.0050
2018.06.04 16:00	128.2570	128.1150	-0.1420
2018.06.02 06:00	128.1140	127.6850	-0.4290
2018.06.01 21:00	127.7670	127.7520	-0.0150
2018.06.01 15:00	127.3470	127.3510	0.0040
2018.06.01 09:00	127.3040	127.1840	-0.1200
2018.06.01 07:00	127.1740	127.1740	0.0000

<lows>
datetime(local)	start	current	diff
2018.06.30 03:00	129.3880	129.3860	-0.0020
2018.06.29 18:00	128.9940	128.9960	0.0020
2018.06.29 14:00	128.6630	128.9840	0.3210
2018.06.29 12:00	128.8740	128.8740	0.0000
2018.06.29 10:00	127.7770	127.7790	0.0020
2018.06.29 08:00	127.7700	127.7760	0.0060
2018.06.29 06:00	127.7890	127.8210	0.0320
2018.06.29 03:00	127.8230	127.8940	0.0710
2018.06.29 01:00	127.8340	127.8220	-0.0120
2018.06.28 20:00	127.7360	127.7320	-0.0040
2018.06.28 14:00	127.5240	127.5210	-0.0030
2018.06.27 23:00	127.8080	128.1570	0.3490
2018.06.27 21:00	128.1280	128.1310	0.0030
2018.06.27 19:00	127.9090	127.9100	0.0010
2018.06.27 16:00	127.8780	128.1410	0.2630
2018.06.27 14:00	128.1810	128.1740	-0.0070
2018.06.27 09:00	128.2880	128.2860	-0.0020
2018.06.27 04:00	128.2120	128.2940	0.0820
2018.06.26 15:00	128.1080	128.3330	0.2250
2018.06.26 05:00	128.2860	128.4810	0.1950
2018.06.26 00:00	128.1720	128.1850	0.0130
2018.06.25 22:00	128.0930	128.0920	-0.0010
2018.06.25 13:00	127.5790	127.6540	0.0750
2018.06.25 08:00	127.6390	128.2670	0.6280
2018.06.23 05:00	128.2090	128.2160	0.0070
2018.06.23 03:00	128.1990	128.2000	0.0010
2018.06.22 21:00	128.2630	128.2680	0.0050
2018.06.22 18:00	128.3990	128.5260	0.1270
2018.06.22 05:00	127.7240	127.7250	0.0010
2018.06.22 03:00	127.6950	127.6960	0.0010
2018.06.22 00:00	127.6540	127.6640	0.0100
2018.06.21 22:00	127.7930	127.7940	0.0010
2018.06.21 17:00	127.8320	127.8300	-0.0020
2018.06.21 15:00	127.9510	127.9520	0.0010
2018.06.21 11:00	127.9350	127.9350	0.0000
2018.06.21 09:00	127.7890	127.7890	0.0000
2018.06.21 04:00	127.8490	127.9130	0.0640
2018.06.20 11:00	127.4760	127.4930	0.0170
2018.06.20 09:00	127.5660	127.5670	0.0010
2018.06.19 17:00	127.1090	127.1060	-0.0030
2018.06.19 10:00	127.3660	128.1070	0.7410
2018.06.19 06:00	128.4640	128.4910	0.0270
2018.06.18 20:00	128.2500	128.3560	0.1060
2018.06.18 15:00	128.0910	128.0900	-0.0010
2018.06.18 09:00	128.2670	128.2660	-0.0010
2018.06.18 07:00	128.3260	128.3210	-0.0050
2018.06.15 15:00	128.1900	128.1850	-0.0050
2018.06.15 07:00	128.0820	128.0830	0.0010
2018.06.15 02:00	128.1390	128.4790	0.3400
2018.06.14 20:00	128.7700	130.0670	1.2970
2018.06.14 18:00	130.0220	130.0220	0.0000
2018.06.14 16:00	130.0090	130.0090	0.0000
2018.06.14 13:00	130.0680	130.0920	0.0240
2018.06.14 09:00	130.0980	130.1150	0.0170
2018.06.14 06:00	130.0320	130.1330	0.1010
2018.06.14 02:00	130.1290	130.1680	0.0390
2018.06.13 14:00	129.9310	129.9290	-0.0020
2018.06.13 12:00	129.9320	129.9340	0.0020
2018.06.13 00:00	129.8090	129.9920	0.1830
2018.06.12 22:00	130.1320	130.1320	0.0000
2018.06.12 17:00	129.9880	130.1060	0.1180
2018.06.12 14:00	129.8040	129.9180	0.1140
2018.06.12 03:00	129.7320	129.7330	0.0010
2018.06.12 00:00	129.7480	129.7560	0.0080
2018.06.11 19:00	129.7220	129.7220	0.0000
2018.06.11 16:00	129.7810	129.8950	0.1140
2018.06.11 14:00	129.5390	129.5390	0.0000
2018.06.11 12:00	129.4190	129.4170	-0.0020
2018.06.08 15:00	128.9640	129.4570	0.4930
2018.06.08 07:00	129.4140	129.4140	0.0000
2018.06.08 00:00	129.8620	130.0990	0.2370
2018.06.07 22:00	130.1580	130.1570	-0.0010
2018.06.07 17:00	129.9720	129.9730	0.0010
2018.06.07 10:00	129.8890	129.8890	0.0000
2018.06.07 08:00	129.7850	129.7850	0.0000
2018.06.07 06:00	129.7180	129.7470	0.0290
2018.06.06 23:00	129.6610	129.6610	0.0000
2018.06.06 21:00	129.7220	129.7230	0.0010
2018.06.06 19:00	129.6700	129.6690	-0.0010
2018.06.06 17:00	129.4540	129.4530	-0.0010
2018.06.05 18:00	128.2390	128.4580	0.2190
2018.06.05 16:00	128.5010	128.5050	0.0040
2018.06.05 14:00	128.4960	128.4950	-0.0010
2018.06.05 11:00	128.4540	128.4980	0.0440
2018.06.05 09:00	128.6660	128.6650	-0.0010
2018.06.04 13:00	128.1680	128.1850	0.0170
2018.06.02 04:00	127.7220	127.7250	0.0030
2018.06.02 01:00	127.7250	127.8680	0.1430
2018.06.01 23:00	128.0460	128.0510	0.0050
2018.06.01 19:00	127.8940	127.8990	0.0050
2018.06.01 17:00	127.5780	127.5790	0.0010
2018.06.01 12:00	127.5140	127.5430	0.0290

