Pair=EURJPY;Period=M1;Days=25000;Shift=1;Bars=1500000;Time=20181208_073419
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local
11482;128.471;128.471;128.471;128.471;34.08594001092672;18.37899094335691;128.5561572312687;128.5361036156346;128.5160500000005;128.4959963843664;128.4759427687323;0.0;0.0;2018.11.27 23:58;2018.11.28 06:58;1
11483;128.481;128.486;128.466;128.472;34.33113155715223;20.11487544280291;128.5539763530208;128.5365381765107;128.5191000000005;128.5016618234903;128.4842236469802;-0.00899999999998613;0.01999999999998181;2018.11.27 23:57;2018.11.28 06:57;2
11484;128.494;128.502;128.48;128.483;37.12157275711956;25.9287415644353;128.5497301372834;128.5358900686419;128.5220500000005;128.508209931359;128.4943698627176;-0.01099999999999568;0.02200000000001978;2018.11.27 23:56;2018.11.28 06:56;3
11485;128.513;128.513;128.487;128.493;39.92410672739941;29.89520762943195;128.5450921380192;128.5345210690098;128.5239500000005;128.5133789309912;128.5028078619818;-0.02000000000001023;0.02600000000001046;2018.11.27 23:55;2018.11.28 06:55;4
11486;128.524;128.524;128.515;128.516;47.81095263943992;34.28683244691952;128.5412531052911;128.5332015526458;128.5251500000005;128.5170984473552;128.5090468947099;-0.008000000000009777;0.009000000000014552;2018.11.27 23:54;2018.11.28 06:54;5
11487;128.527;128.529;128.522;128.526;52.05868463681765;40.89079032724405;128.5412576347822;128.5334788173913;128.5257000000005;128.5179211826097;128.5101423652188;-0.0009999999999763531;0.007000000000005002;2018.11.27 23:53;2018.11.28 06:53;6
11488;128.529;128.531;128.528;128.528;52.95254598416457;46.97060479852547;128.5411396930921;128.5333198465463;128.5255000000005;128.5176801534547;128.5098603069088;-0.001000000000004775;0.003000000000014325;2018.11.27 23:52;2018.11.28 06:52;7
11489;128.517;128.534;128.517;128.53;53.83061759259828;43.65684757521964;128.5408926639179;128.5329713319592;128.5250500000005;128.5171286680418;128.5092073360831;0.01300000000000523;0.01699999999999591;2018.11.27 23:51;2018.11.28 06:51;8
11490;128.509;128.517;128.505;128.517;48.56379122389355;39.07064082436047;128.5403657857405;128.5324828928705;128.5246000000005;128.5167171071305;128.5088342142604;0.008000000000009777;0.01200000000000045;2018.11.27 23:50;2018.11.28 06:50;9
11491;128.52;128.52;128.509;128.51;45.37625833466485;41.25636619802783;128.5402738489076;128.5325369244541;128.5248000000005;128.517063075547;128.5093261510934;-0.01000000000001933;0.0110000000000241;2018.11.27 23:49;2018.11.28 06:49;10
11492;128.52;128.52;128.519;128.519;49.09217598831348;47.58786383077749;128.5394468306327;128.5323484153166;128.5252500000005;128.5181515846844;128.5110531693683;-0.001000000000004775;0.001000000000004775;2018.11.27 23:48;2018.11.28 06:48;11
11493;128.515;128.52;128.511;128.52;49.52023256211342;44.96832619216799;128.5419030624114;128.5331265312059;128.5243500000005;128.5155734687951;128.5067969375896;0.005000000000023874;0.009000000000014552;2018.11.27 23:47;2018.11.28 06:47;12
11494;128.528;128.529;128.509;128.513;46.41302871845259;42.33928686689116;128.5419856384808;128.5330678192406;128.5241500000005;128.5152321807604;128.5063143615202;-0.01499999999998636;0.02000000000001023;2018.11.27 23:46;2018.11.28 06:46;13
11495;128.541;128.541;128.526;128.526;52.06744216940821;49.55579152093101;128.541710461935;128.5331052309678;128.5245000000005;128.5158947690332;128.507289538066;-0.01499999999998636;0.01499999999998636;2018.11.27 23:45;2018.11.28 06:45;14
