[libfx_5.py:464 / 20190731_162632]
fname_Src_Csv	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
dpath_Src_Csv	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw


[libfx_5.py:584 / 20190731_162632] cntOf_SLs	\280 (0.805)
cntOf_TPs	\68 (0.195)

st_idx	st_pr	cu_idx	cu_pr	e0.price_High	e0.price_Low	exit
1	10	79.086	12	79.090	79.091	79.029	STATUS_POS_EXIT__SL
2	14	79.057	14	79.036	79.274	79.036	STATUS_POS_EXIT__TP
3	16	79.223	16	79.223	79.281	79.192	STATUS_POS_EXIT__SL
4	17	79.238	17	79.247	79.371	79.226	STATUS_POS_EXIT__TP
5	19	79.295	19	79.295	79.317	79.262	STATUS_POS_EXIT__SL
6	20	79.284	23	79.345	79.413	79.325	STATUS_POS_EXIT__TP
7	25	79.398	27	79.443	79.452	79.412	STATUS_POS_EXIT__SL
8	29	79.411	30	79.478	79.504	79.417	STATUS_POS_EXIT__SL
9	32	79.479	33	79.482	79.481	79.417	STATUS_POS_EXIT__SL
10	35	79.439	41	79.518	79.519	79.456	STATUS_POS_EXIT__SL
11	43	79.466	45	79.525	79.528	79.477	STATUS_POS_EXIT__SL
12	47	79.480	47	79.494	79.497	79.447	STATUS_POS_EXIT__SL
13	49	79.450	49	79.450	79.465	79.399	STATUS_POS_EXIT__SL
14	50	79.422	50	79.422	79.422	79.332	STATUS_POS_EXIT__SL
15	51	79.349	51	79.349	79.431	79.315	STATUS_POS_EXIT__TP
16	52	79.378	52	79.378	79.398	79.333	STATUS_POS_EXIT__SL
17	53	79.349	53	79.349	79.357	79.243	STATUS_POS_EXIT__SL
18	54	79.288	54	79.288	79.360	79.275	STATUS_POS_EXIT__TP
19	55	79.285	56	79.320	79.336	79.271	STATUS_POS_EXIT__SL
20	58	79.296	58	79.284	79.300	79.236	STATUS_POS_EXIT__SL
21	60	79.262	60	79.262	79.302	79.212	STATUS_POS_EXIT__SL
22	61	79.243	61	79.286	79.358	79.277	STATUS_POS_EXIT__TP
23	63	79.343	63	79.343	79.409	79.343	STATUS_POS_EXIT__TP
24	64	79.402	65	79.371	79.460	79.363	STATUS_POS_EXIT__TP
25	67	79.455	67	79.455	79.515	79.455	STATUS_POS_EXIT__TP
26	68	79.493	71	79.508	79.520	79.457	STATUS_POS_EXIT__SL
27	73	79.442	73	79.442	79.524	79.440	STATUS_POS_EXIT__TP
28	74	79.523	74	79.523	79.567	79.488	STATUS_POS_EXIT__SL
29	75	79.494	76	79.521	79.592	79.512	STATUS_POS_EXIT__TP
30	78	79.584	78	79.572	79.583	79.538	STATUS_POS_EXIT__SL
31	80	79.545	80	79.545	79.547	79.512	STATUS_POS_EXIT__SL
32	81	79.541	84	79.590	79.567	79.492	STATUS_POS_EXIT__SL
33	86	79.533	86	79.564	79.565	79.505	STATUS_POS_EXIT__SL
34	88	79.511	88	79.511	79.528	79.465	STATUS_POS_EXIT__SL
35	89	79.508	90	79.550	79.549	79.511	STATUS_POS_EXIT__SL
36	92	79.521	92	79.542	79.545	79.501	STATUS_POS_EXIT__SL
37	94	79.500	97	79.585	79.600	79.537	STATUS_POS_EXIT__SL
38	99	79.556	102	79.591	79.624	79.562	STATUS_POS_EXIT__SL
39	104	79.570	104	79.570	79.586	79.530	STATUS_POS_EXIT__SL
40	105	79.543	105	79.543	79.579	79.503	STATUS_POS_EXIT__SL
41	106	79.512	108	79.513	79.523	79.469	STATUS_POS_EXIT__SL
42	110	79.489	110	79.489	79.489	79.423	STATUS_POS_EXIT__SL
